year,competition,mens_400_free_pdf,womens_400_free_pdf
2014,FINA/MASTBANK SWIMMING WORLD CUP 2014,https://www.omegatiming.com/File/00010E010B00000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010E010B01001702FFFFFFFFFFFF02.pdf
2014,FINA/MASTBANK SWIMMING WORLD CUP 2014,https://www.omegatiming.com/File/00010E010C00000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010E010C01001702FFFFFFFFFFFF02.pdf
2015,ARENA PRO SWIM SERIES AT MESA,https://www.omegatiming.com/File/00010F020900000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010F020901001702FFFFFFFFFFFF02.pdf
2015,2015 SPEEDO JUNIOR NATIONAL CHAMPIONSHIPS,https://www.omegatiming.com/File/00010F020A00000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010F020A01001702FFFFFFFFFFFF02.pdf
2015,PHILLIPS 66 NATIONAL CHAMPIONSHIPS,https://www.omegatiming.com/File/00010F020B00000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010F020B01001702FFFFFFFFFFFF02.pdf
2015,FINA/AIRWEAVE SWIMMING WORLD CUP 2015,https://www.omegatiming.com/File/00010F020100000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010F020101001702FFFFFFFFFFFF02.pdf
2015,FINA/AIRWEAVE SWIMMING WORLD CUP 2015,https://www.omegatiming.com/File/00010F020200000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010F020201001702FFFFFFFFFFFF02.pdf
2015,5TH FINA WORLD JUNIOR SWIMMING CHAMPIONSHIPS 2015,https://www.omegatiming.com/File/00010F020E00000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010F020E01001702FFFFFFFFFFFF02.pdf
2015,FINA/AIRWEAVE SWIMMING WORLD CUP 2015,https://www.omegatiming.com/File/00010F020300000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010F020301001702FFFFFFFFFFFF02.pdf
2015,FINA/AIRWEAVE SWIMMING WORLD CUP 2015,https://www.omegatiming.com/File/00010F020400000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010F020401001702FFFFFFFFFFFF02.pdf
2015,FINA/AIRWEAVE SWIMMING WORLD CUP 2015,https://www.omegatiming.com/File/00010F020500000300FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010F020501001702FFFFFFFFFFFF02.pdf
2015,FINA/AIRWEAVE SWIMMING WORLD CUP 2015,https://www.omegatiming.com/File/00010F020600000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010F020601001702FFFFFFFFFFFF02.pdf
2015,FINA/AIRWEAVE SWIMMING WORLD CUP 2015,https://www.omegatiming.com/File/00010F020700000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010F020701001702FFFFFFFFFFFF02.pdf
2015,FINA/AIRWEAVE SWIMMING WORLD CUP 2015,https://www.omegatiming.com/File/00010F020800000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010F020801001702FFFFFFFFFFFF02.pdf
2015,AT&T WINTER NATIONAL CHAMPIONSHIPS,https://www.omegatiming.com/File/00010F020C00000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010F020C01001702FFFFFFFFFFFF02.pdf
2015,MUTUAL OF OMAHA DUEL IN THE POOL,https://www.omegatiming.com/File/00010F020D00000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010F020D01001702FFFFFFFFFFFF02.pdf
2016,2015-2016 ARENA PRO SWIM SERIES,https://www.omegatiming.com/File/000110000100000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/000110000101001702FFFFFFFFFFFF02.pdf
2016,2015-16 ARENA PRO SWIM SERIES,https://www.omegatiming.com/File/000110000200000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/000110000201001702FFFFFFFFFFFF02.pdf
2016,U.S. OLYMPIC TEAM TRIALS - SWIMMING,https://www.omegatiming.com/File/000110000300000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/000110000301001702FFFFFFFFFFFF02.pdf
2016,FINA/AIRWEAVE SWIMMING WORLD CUP 2016,https://www.omegatiming.com/File/000110000400000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/000110000401001702FFFFFFFFFFFF02.pdf
2016,FINA/AIRWEAVE SWIMMING WORLD CUP 2016,https://www.omegatiming.com/File/000110000500000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/000110000501001702FFFFFFFFFFFF02.pdf
2016,FINA/AIRWEAVE SWIMMING WORLD CUP 2016,https://www.omegatiming.com/File/000110000600000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/000110000601001702FFFFFFFFFFFF02.pdf
2016,FINA/AIRWEAVE SWIMMING WORLD CUP 2016,https://www.omegatiming.com/File/000110000700000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/000110000701001702FFFFFFFFFFFF02.pdf
2016,FINA/AIRWEAVE SWIMMING WORLD CUP 2016,https://www.omegatiming.com/File/000110000800000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/000110000801001702FFFFFFFFFFFF02.pdf
2016,FINA/AIRWEAVE SWIMMING WORLD CUP 2016,https://www.omegatiming.com/File/000110000900000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/000110000901001702FFFFFFFFFFFF02.pdf
